last_name,first_name,pitcher_id,avg_speed,pitch_type_name,pitcher_break_z,pitcher_break_x
Manning,Matt,666159,93.2,4-Seamer,15,2.9
Harvey,Hunter,640451,98.3,4-Seamer,11,9.1
Duran,Jhoan,661395,100.8,4-Seamer,12.9,11.7
Gomber,Austin,596295,84.3,Slider,34.7,5
Festa,Matthew,670036,82.9,Slider,37.1,15.6
Scherzer,Max,453286,85,Slider,34.7,3.2
Bellatti,Andrew,571479,85.9,Slider,33.3,3.6
Mahle,Tyler,641816,85.4,Splitter,27.4,14.3
Brebbia,John,605154,94.4,4-Seamer,13.4,10.1
Logue,Zach,656657,90.1,4-Seamer,20,10.1
DeLosSantos,Enyel,660853,95.3,4-Seamer,15.9,11.8
Soto,Gregory,642397,98.1,Sinker,18.6,16.7
Faedo,Alex,656412,92.7,4-Seamer,14.9,11
Sewald,Paul,623149,92.5,4-Seamer,18.4,11.9
Crawford,Kutter,676710,94.6,4-Seamer,11.6,10
Montero,Rafael,606160,96.4,4-Seamer,13.8,9.3
Bard,Daniel,453268,98,Sinker,21.4,14.5
Bassitt,Chris,605135,89.1,Cutter,25.5,2.5
Hernández,Carlos,672578,96.7,4-Seamer,12.1,8.1
Ryan,Joe,657746,82,Slider,37.8,4
Luzardo,Jesús,666200,83.7,Curveball,39.6,1.1
Corbin,Patrick,571578,92.1,4-Seamer,17.6,8.2
Thielbar,Caleb,573204,92.8,4-Seamer,12.3,3.2
Beeks,Jalen,656222,90.3,Changeup,25.3,16.6
Bubic,Kris,663460,79.4,Curveball,56.4,7.6
Lynn,Lance,458681,89,Cutter,29,2.2
Verlander,Justin,434378,79,Curveball,55.3,6.9
Doval,Camilo,666808,87.7,Slider,34.8,6.4
Stephan,Trevor,663986,96.5,4-Seamer,15,11
Gray,Sonny,543243,92,Sinker,22.7,13.4
Espino,Paolo,502179,71.3,Curveball,73.2,13.1
Feltner,Ryan,663372,84.4,Slider,36.2,5.8
Davis,Austin,656354,94.1,4-Seamer,15.8,10.4
Loáisiga,Jonathan,642528,98,Sinker,17.2,16.2
Martin,Davis,663436,94,4-Seamer,14.6,6.3
Beeks,Jalen,656222,95,4-Seamer,12.5,5.1
Plesac,Zach,668676,85.7,Changeup,24.9,11.4
Ramirez,Erasmo,541640,93.1,Sinker,24.8,15.4
Jackson,Zach,667427,94.5,4-Seamer,11.2,4.9
Hearn,Taylor,621368,84.9,Slider,38.7,3.2
Scott,Tanner,656945,96.9,4-Seamer,12.6,5.3
Alvarado,José,621237,99.6,Sinker,13.2,12.7
Irvin,Cole,608344,83,Changeup,32.5,13.3
Swanson,Erik,657024,93.6,4-Seamer,12.5,10
Cueto,Johnny,456501,82.6,Changeup,36,12.2
Bieber,Shane,669456,86.9,Cutter,27.3,2
Moore,Matt,519043,83.6,Curveball,50.2,4.1
Eflin,Zach,621107,92.7,Sinker,24.6,17
Smith,Will,519293,81.7,Slider,38.5,4.8
Romano,Jordan,605447,96.9,4-Seamer,11.2,5.3
Stratton,Chris,608717,92.8,4-Seamer,16.9,3.6
Sewald,Paul,623149,82.8,Slider,31.4,12
Gallegos,Giovanny,606149,94.3,4-Seamer,12.3,7.5
Weems,Jordan,607179,96.8,4-Seamer,11.1,6.8
Loup,Aaron,571901,91.2,Sinker,29.4,18.9
Hernandez,Elieser,622694,91.6,4-Seamer,15.1,6.4
Maton,Phil,664208,91,4-Seamer,16.8,1.3
Bassitt,Chris,605135,78.9,Slider,43.6,12.8
Cessa,Luis,570666,82.8,Slider,44.2,5.6
White,Mitch,669952,85.4,Slider,38.3,9.2
Cueto,Johnny,456501,86.9,Cutter,26.1,3.3
Milner,Hoby,571948,88.9,Sinker,34.8,18.5
Gallegos,Giovanny,606149,85.5,Slider,36.5,0.3
Lauer,Eric,641778,86.8,Slider,32.1,3.1
Rogers,Taylor,573124,94.3,Sinker,23.2,17
Garrett,Braxton,666129,84.1,Slider,41.7,9
Cortes,Nestor,641482,77.1,Slider,42.4,15.2
Montgomery,Jordan,656756,93,4-Seamer,16.8,8.8
Stephenson,Robert,596112,83.9,Slider,41.3,5.2
Greinke,Zack,425844,72,Curveball,64.4,12.5
Garcia,Yimi,554340,94.9,4-Seamer,16.7,9.5
